,season,goals,assists,xG,xA,key_passes,shots,minutes,xGChain,xGBuildup
0,2022,6,9,8.136113233864307,6.090364996343851,32,51,978,17.29499515146017,8.159148883074522
1,2021,6,13,9.8803666010499,8.680599307641387,63,89,2155,27.21942439675331,13.841107498854399
2,2020,30,9,26.676843278110027,11.422847747802734,77,195,3017,37.906863175332546,20.33736250922084
3,2019,25,20,20.84966728463769,16.593363385647535,88,159,2876,34.92346678301692,13.53765751607716
4,2018,36,13,25.997169069945812,15.33516551926732,93,170,2704,38.45987746119499,10.69879900291562
5,2017,34,12,28.946280613541603,15.100405622273684,87,196,2995,48.18063422292471,21.634404016658664
6,2016,37,9,26.885174363851547,13.955131396651268,79,179,2832,42.52504535019398,18.13351222872734
7,2015,26,16,27.101910315454006,15.871278138831258,77,158,2726,41.99686624109745,15.196364373899996
8,2014,43,18,35.89176357910037,17.61195552162826,95,187,3374,54.75360991060734,19.75672373920679
